# Output table from Spectronaut filtered for the comparison of Geriatric (26m) vs. Young (y) mouse crypts. Related to Figure 2 and S2.,,,,,,,,,,
,,,,,,,,,,
Comparison (group1/group2),Group,Genes,ProteinDescriptions,ProteinNames,# Unique Peptides,AVG Log Ratio,Absolute AVG Log Ratio,% Change,Ratio,Qvalue
26m / y,O88844,Idh1,Isocitrate dehydrogenase [NADP] cytoplasmic,IDHC_MOUSE,34,0.580298066,0.580298066,-33.11744187,0.668825581,4.30E-12
26m / y,P01878,NaN,Ig alpha chain C region,IGHA_MOUSE,14,1.348472595,1.348472595,-60.72924051,0.392707595,6.65E-12
26m / y,P63037,Dnaja1,DnaJ homolog subfamily A member 1,DNJA1_MOUSE,23,-0.730218351,0.730218351,65.88901445,1.658890144,1.25E-11
26m / y,Q99JW2,Acy1,Aminoacylase-1,ACY1_MOUSE,23,0.680561185,0.680561185,-37.60774685,0.623922532,2.26E-11
26m / y,P56480,Atp5b,"ATP synthase subunit beta, mitochondrial",ATPB_MOUSE,44,0.546692133,0.546692133,-31.54120199,0.68458798,4.20E-11
26m / y,Q9ERU9,Ranbp2,E3 SUMO-protein ligase RanBP2,RBP2_MOUSE,117,-0.229060486,0.229060486,17.20714225,1.172071423,1.49E-10
26m / y,Q62261,Sptbn1,"Spectrin beta chain, non-erythrocytic 1",SPTB2_MOUSE,182,0.187116161,0.187116161,-12.16402572,0.878359743,4.10E-10
26m / y,Q64444,Ca4,Carbonic anhydrase 4,CAH4_MOUSE,9,1.020967364,1.020967364,-50.72141842,0.492785816,4.62E-10
26m / y,P35230,Reg3b,Regenerating islet-derived protein 3-beta,REG3B_MOUSE,8,1.180727839,1.180727839,-55.88711075,0.441128893,4.68E-10
26m / y,Q8BLN5,Lss,Lanosterol synthase,ERG7_MOUSE,16,0.759138942,0.759138942,-40.91511322,0.590848868,7.15E-10
26m / y,O89086,Rbm3,RNA-binding protein 3,RBM3_MOUSE,10,0.819819927,0.819819927,-43.34873514,0.566512649,7.22E-10
26m / y,Q8K0C9,Gmds,"GDP-mannose 4,6 dehydratase",GMDS_MOUSE,27,0.370875955,0.370875955,-22.66871747,0.773312825,7.79E-10
26m / y,Q9R233,Tapbp,Tapasin,TPSN_MOUSE,19,0.886729181,0.886729181,-45.91611028,0.540838897,8.10E-10
26m / y,O08528,Hk2,Hexokinase-2,HXK2_MOUSE,37,0.359963685,0.359963685,-22.08158074,0.779184193,9.25E-10
26m / y,Q00PI9,Hnrnpul2,Heterogeneous nuclear ribonucleoprotein U-like protein 2,HNRL2_MOUSE,41,-0.390590787,0.390590787,31.09301229,1.310930123,1.16E-09
26m / y,P01899,H2-D1,"H-2 class I histocompatibility antigen, D-B alpha chain",HA11_MOUSE,17,0.716328561,0.716328561,-39.13556199,0.60864438,1.73E-09
26m / y,P28271,Aco1,Cytoplasmic aconitate hydratase,ACOC_MOUSE,46,0.351140857,0.351140857,-21.60360915,0.783963908,1.94E-09
26m / y,P40142,Tkt,Transketolase,TKT_MOUSE,56,0.312994987,0.312994987,-19.50310652,0.804968935,2.40E-09
26m / y,Q9JLT2,Treh,Trehalase,TREA_MOUSE,23,1.067185879,1.067185879,-52.27509863,0.477249014,2.40E-09
26m / y,P52196,Tst,Thiosulfate sulfurtransferase,THTR_MOUSE,14,0.811386228,0.811386228,-43.01659358,0.569834064,2.49E-09
26m / y,Q5SF07,Igf2bp2,Insulin-like growth factor 2 mRNA-binding protein 2,IF2B2_MOUSE,12,-0.607295573,0.607295573,52.34008151,1.523400815,3.22E-09
26m / y,P21981,Tgm2,Protein-glutamine gamma-glutamyltransferase 2,TGM2_MOUSE,35,-0.452709734,0.452709734,36.86084258,1.368608426,3.63E-09
26m / y,P29391,Ftl1,Ferritin light chain 1,FRIL1_MOUSE,8,-0.934866607,0.934866607,91.17138683,1.911713868,4.00E-09
26m / y,Q07113,Igf2r,Cation-independent mannose-6-phosphate receptor,MPRI_MOUSE,55,-0.272197217,0.272197217,20.76456656,1.207645666,6.38E-09
26m / y,P09470,Ace,Angiotensin-converting enzyme,ACE_MOUSE,35,1.120982885,1.120982885,-54.02195226,0.459780477,1.58E-08
26m / y,Q8VCT4,Ces1d,Carboxylesterase 1D,CES1D_MOUSE,27,0.623060584,0.623060584,-35.07079654,0.649292035,1.90E-08
26m / y,Q8BND5,Qsox1,Sulfhydryl oxidase 1,QSOX1_MOUSE,19,0.634920597,0.634920597,-35.60237431,0.643976257,2.12E-08
26m / y,Q5JCT0,Gcnt3,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3",GCNT3_MOUSE,11,0.634400129,0.634400129,-35.57913798,0.64420862,2.39E-08
26m / y,P36371,Tap2,Antigen peptide transporter 2,TAP2_MOUSE,16,0.736338437,0.736338437,-39.97391158,0.600260884,3.49E-08
26m / y,Q8BJ71,Nup93,Nuclear pore complex protein Nup93,NUP93_MOUSE,34,-0.347658306,0.347658306,27.24935171,1.272493517,3.56E-08
26m / y,Q61391,Mme,Neprilysin,NEP_MOUSE,46,0.749729037,0.749729037,-40.52847553,0.594715245,3.60E-08
26m / y,Q99K01,Pdxdc1,Pyridoxal-dependent decarboxylase domain-containing protein 1,PDXD1_MOUSE,37,0.503651977,0.503651977,-29.46808951,0.705319105,3.75E-08
26m / y,Q8VC28,Akr1c13,Aldo-keto reductase family 1 member C13,AK1CD_MOUSE,23,0.501264274,0.501264274,-29.35126049,0.706487395,3.81E-08
26m / y,O08709,Prdx6,Peroxiredoxin-6,PRDX6_MOUSE,24,0.440470845,0.440470845,-26.31059267,0.736894073,4.01E-08
26m / y,P35700,Prdx1,Peroxiredoxin-1,PRDX1_MOUSE,26,0.428537339,0.428537339,-25.69852989,0.743014701,4.75E-08
26m / y,P26231,Ctnna1,Catenin alpha-1,CTNA1_MOUSE,76,0.275693804,0.275693804,-17.39470331,0.826052967,5.29E-08
26m / y,P26039,Tln1,Talin-1,TLN1_MOUSE,104,0.224637881,0.224637881,-14.41901915,0.855809809,5.96E-08
26m / y,P16546,Sptan1,"Spectrin alpha chain, non-erythrocytic 1",SPTN1_MOUSE,216,0.157386482,0.157386482,-10.33520744,0.896647926,6.69E-08
26m / y,Q9Z110,Aldh18a1,Delta-1-pyrroline-5-carboxylate synthase,P5CS_MOUSE,60,-0.30187425,0.30187425,23.27448709,1.232744871,6.72E-08
26m / y,Q9JII6,Akr1a1,Alcohol dehydrogenase [NADP(+)],AK1A1_MOUSE,21,0.376294523,0.376294523,-22.95861862,0.770413814,1.02E-07
26m / y,Q9CR16,Ppid,Peptidyl-prolyl cis-trans isomerase D,PPID_MOUSE,23,-0.732545912,0.732545912,66.15686627,1.661568663,1.03E-07
26m / y,P04441,Cd74,H-2 class II histocompatibility antigen gamma chain,HG2A_MOUSE,12,1.189704776,1.189704776,-56.16074386,0.438392561,1.04E-07
26m / y,P01901,H2-K1,"H-2 class I histocompatibility antigen, K-B alpha chain",HA1B_MOUSE,21,0.715874374,0.715874374,-39.11639771,0.608836023,1.72E-07
26m / y,P14434,H2-Aa,"H-2 class II histocompatibility antigen, A-B alpha chain",HA2B_MOUSE,8,1.59773469,1.59773469,-66.96046448,0.330395355,1.82E-07
26m / y,O70475,Ugdh,UDP-glucose 6-dehydrogenase,UGDH_MOUSE,39,0.453274071,0.453274071,-26.96165761,0.730383424,1.83E-07
26m / y,P97821,Ctsc,Dipeptidyl peptidase 1,CATC_MOUSE,14,0.596406281,0.596406281,-33.86005646,0.661399435,2.43E-07
26m / y,Q9R1P4,Psma1,Proteasome subunit alpha type-1,PSA1_MOUSE,20,0.53106302,0.53106302,-30.79553727,0.692044627,3.02E-07
26m / y,Q8K0C4,Cyp51a1,Lanosterol 14-alpha demethylase,CP51A_MOUSE,20,0.540256381,0.540256381,-31.23513037,0.687648696,3.14E-07
26m / y,P12970,Rpl7a,60S ribosomal protein L7a,RL7A_MOUSE,25,0.499592155,0.499592155,-29.2693294,0.707306706,3.75E-07
26m / y,P08226,Apoe,Apolipoprotein E,APOE_MOUSE,14,1.696590424,1.696590424,-69.14856338,0.308514366,3.77E-07
26m / y,Q9Z0W3,Nup160,Nuclear pore complex protein Nup160,NU160_MOUSE,29,-0.428263903,0.428263903,34.56133302,1.34561333,4.74E-07
26m / y,Q68FD5,Cltc,Clathrin heavy chain 1,CLH1_MOUSE,110,0.22052215,0.22052215,-14.17452454,0.858254755,5.95E-07
26m / y,Q9DCD0,Pgd,"6-phosphogluconate dehydrogenase, decarboxylating",6PGD_MOUSE,33,0.361888021,0.361888021,-22.18544279,0.778145572,6.04E-07
26m / y,Q6DYE8,Enpp3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,ENPP3_MOUSE,25,1.217508912,1.217508912,-56.9975403,0.430024597,6.07E-07
26m / y,Q64442,Sord,Sorbitol dehydrogenase,DHSO_MOUSE,23,0.432054728,0.432054728,-25.87946131,0.741205387,8.55E-07
26m / y,Q9QY23,Pkp3,Plakophilin-3,PKP3_MOUSE,38,0.332041562,0.332041562,-20.55884859,0.794411514,8.55E-07
26m / y,Q9R1J0,Nsdhl,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL_MOUSE,17,0.552210212,0.552210212,-31.80254587,0.681974541,8.64E-07
26m / y,P48036,Anxa5,Annexin A5,ANXA5_MOUSE,12,-0.440964282,0.440964282,35.751137,1.35751137,9.35E-07
26m / y,Q8BVW3,Trim14,Tripartite motif-containing protein 14,TRI14_MOUSE,12,0.509736598,0.509736598,-29.7649341,0.702350659,9.69E-07
26m / y,Q99JY9,Actr3,Actin-related protein 3,ARP3_MOUSE,30,0.432644546,0.432644546,-25.90975785,0.740902421,1.03E-06
26m / y,P57780,Actn4,Alpha-actinin-4,ACTN4_MOUSE,83,0.264134586,0.264134586,-16.73019133,0.832698087,1.05E-06
26m / y,Q80YR5,Safb2,Scaffold attachment factor B2,SAFB2_MOUSE,33,-0.301805943,0.301805943,23.26865058,1.232686506,1.14E-06
26m / y,Q9CRD0,Ociad1,OCIA domain-containing protein 1,OCAD1_MOUSE,15,-0.409583062,0.409583062,32.83018801,1.32830188,1.60E-06
26m / y,P48678,Lmna,Prelamin-A/C,LMNA_MOUSE,68,0.235121265,0.235121265,-15.03864177,0.849613582,1.62E-06
26m / y,O88531,Ppt1,Palmitoyl-protein thioesterase 1,PPT1_MOUSE,10,0.333506256,0.333506256,-20.63946021,0.793605398,1.84E-06
26m / y,Q9CPY7,Lap3,Cytosol aminopeptidase,AMPL_MOUSE,34,0.393471152,0.393471152,-23.87042927,0.761295707,2.02E-06
26m / y,O88329,Myo1a,Unconventional myosin-Ia,MYO1A_MOUSE,79,0.37447536,0.37447536,-22.86141217,0.771385878,2.10E-06
26m / y,Q9Z1X4,Ilf3,Interleukin enhancer-binding factor 3,ILF3_MOUSE,38,-0.32521382,0.32521382,25.2850108,1.252850108,2.25E-06
26m / y,P28659,Celf1,CUGBP Elav-like family member 1,CELF1_MOUSE,14,-0.393735528,0.393735528,31.37907635,1.313790764,2.26E-06
26m / y,P37040,Por,NADPH--cytochrome P450 reductase,NCPR_MOUSE,39,0.391365677,0.391365677,-23.75924438,0.762407556,2.37E-06
26m / y,P18760,Cfl1,Cofilin-1,COF1_MOUSE,21,0.547465086,0.547465086,-31.57787035,0.684221296,2.49E-06
26m / y,Q8C1N8,Defa22,Alpha-defensin 22,DFA22_MOUSE,7,1.342954516,1.342954516,-60.57874849,0.394212515,2.57E-06
26m / y,P63260,Actg1,"Actin, cytoplasmic 2",ACTG_MOUSE,1,-0.811590493,0.811590493,75.51453286,1.755145329,2.87E-06
26m / y,Q6P069,Sri,Sorcin,SORCN_MOUSE,14,0.852181733,0.852181733,-44.60536097,0.55394639,2.87E-06
26m / y,Q9D1P4,Chordc1,Cysteine and histidine-rich domain-containing protein 1,CHRD1_MOUSE,12,-0.727710426,0.727710426,65.60088993,1.656008899,2.91E-06
26m / y,B2RXS4,Plxnb2,Plexin-B2,PLXB2_MOUSE,53,0.206739023,0.206739023,-13.35064132,0.866493587,3.00E-06
26m / y,Q8BHB9,Clic6,Chloride intracellular channel protein 6,CLIC6_MOUSE,11,-0.874544978,0.874544978,83.34297368,1.833429737,3.16E-06
26m / y,P39054,Dnm2,Dynamin-2,DYN2_MOUSE,34,0.377248555,0.377248555,-23.00954806,0.769904519,3.29E-06
26m / y,Q9ERE7,Mesdc2,LDLR chaperone MESD,MESD_MOUSE,14,-0.495937675,0.495937675,41.02370366,1.410237037,3.34E-06
26m / y,Q9JKY5,Hip1r,Huntingtin-interacting protein 1-related protein,HIP1R_MOUSE,38,0.25126034,0.25126034,-15.98378721,0.840162128,3.67E-06
26m / y,O09159,Man2b1,Lysosomal alpha-mannosidase,MA2B1_MOUSE,22,0.346867561,0.346867561,-21.37105302,0.78628947,3.69E-06
26m / y,P16110,Lgals3,Galectin-3,LEG3_MOUSE,10,0.953346133,0.953346133,-48.35667244,0.516433276,3.76E-06
26m / y,Q99KG3,Rbm10,RNA-binding protein 10,RBM10_MOUSE,23,-0.430224389,0.430224389,34.74431344,1.347443134,3.76E-06
26m / y,Q9ET30,Tm9sf3,Transmembrane 9 superfamily member 3,TM9S3_MOUSE,19,-0.45329991,0.45329991,36.91684085,1.369168409,3.77E-06
26m / y,P62897,Cycs,"Cytochrome c, somatic",CYC_MOUSE,13,0.569329977,0.569329977,-32.60702948,0.673929705,3.84E-06
26m / y,P12787,Cox5a,"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A_MOUSE,10,0.70453757,0.70453757,-38.63608521,0.613639148,4.33E-06
26m / y,Q80WJ7,Mtdh,Protein LYRIC,LYRIC_MOUSE,25,-0.367861867,0.367861867,29.04389295,1.290438929,4.35E-06
26m / y,P21958,Tap1,Antigen peptide transporter 1,TAP1_MOUSE,15,0.541787565,0.541787565,-31.30807426,0.686919257,4.42E-06
26m / y,Q9JJ00,Plscr1,Phospholipid scramblase 1,PLS1_MOUSE,7,1.002628922,1.002628922,-50.09102855,0.499089715,4.82E-06
26m / y,Q9DBM2,Ehhadh,Peroxisomal bifunctional enzyme,ECHP_MOUSE,57,0.35474053,0.35474053,-21.79897244,0.782010276,5.19E-06
26m / y,Q01339,Apoh,Beta-2-glycoprotein 1,APOH_MOUSE,11,1.178022265,1.178022265,-55.80430553,0.441956945,5.22E-06
26m / y,Q9QZQ8,H2afy,Core histone macro-H2A.1,H2AY_MOUSE,24,-0.418041259,0.418041259,33.61122888,1.336112289,5.31E-06
26m / y,Q3UQ44,Iqgap2,Ras GTPase-activating-like protein IQGAP2,IQGA2_MOUSE,76,0.334376544,0.334376544,-20.68731901,0.79312681,5.33E-06
26m / y,P62806,Hist1h4a,Histone H4,H4_MOUSE,22,0.456726223,0.456726223,-27.13621843,0.728637816,5.33E-06
26m / y,P51174,Acadl,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADL_MOUSE,23,0.462409824,0.462409824,-27.42270585,0.725772941,5.41E-06
26m / y,P07901,Hsp90aa1,Heat shock protein HSP 90-alpha,HS90A_MOUSE,45,-0.405791938,0.405791938,32.48159418,1.324815942,5.61E-06
26m / y,O88428,Papss2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,PAPS2_MOUSE,38,-0.535646081,0.535646081,44.95911785,1.449591178,6.46E-06
26m / y,P55012,Slc12a2,Solute carrier family 12 member 2,S12A2_MOUSE,51,-0.30108735,0.30108735,23.20726685,1.232072668,6.89E-06
26m / y,P11352,Gpx1,Glutathione peroxidase 1,GPX1_MOUSE,17,-0.550335348,0.550335348,46.44260553,1.464426055,7.15E-06
26m / y,Q8K363,Ddx18,ATP-dependent RNA helicase DDX18,DDX18_MOUSE,21,-0.574326754,0.574326754,48.89824542,1.488982454,7.60E-06
26m / y,Q9Z1Q5,Clic1,Chloride intracellular channel protein 1,CLIC1_MOUSE,17,0.620123684,0.620123684,-34.93848529,0.650615147,8.16E-06
26m / y,P51432,Plcb3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",PLCB3_MOUSE,70,0.182649359,0.182649359,-11.89165083,0.881083492,8.19E-06
26m / y,P07356,Anxa2,Annexin A2,ANXA2_MOUSE,40,0.435783803,0.435783803,-26.07080053,0.739291995,8.25E-06
26m / y,P38060,Hmgcl,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",HMGCL_MOUSE,18,0.447464466,0.447464466,-26.66694568,0.733330543,8.63E-06
26m / y,P09813,Apoa2,Apolipoprotein A-II,APOA2_MOUSE,4,5.796345234,5.796345234,-98.2006062,0.017993938,9.31E-06
26m / y,Q45VN2,Defa20,Alpha-defensin 20,DFA20_MOUSE,9,1.410205364,1.410205364,-62.37418764,0.376258124,1.03E-05
26m / y,Q9R0H0,Acox1,Peroxisomal acyl-coenzyme A oxidase 1,ACOX1_MOUSE,54,0.566037893,0.566037893,-32.45306996,0.6754693,1.04E-05
26m / y,P27773,Pdia3,Protein disulfide-isomerase A3,PDIA3_MOUSE,59,0.299286753,0.299286753,-18.73459388,0.812654061,1.08E-05
26m / y,O35326,Srsf5,Serine/arginine-rich splicing factor 5,SRSF5_MOUSE,9,0.529930651,0.529930651,-30.74119748,0.692588025,1.14E-05
26m / y,Q64012,Raly,RNA-binding protein Raly,RALY_MOUSE,20,-0.417043954,0.417043954,33.51889815,1.335188981,1.15E-05
26m / y,Q8JZN7,Rhot2,Mitochondrial Rho GTPase 2,MIRO2_MOUSE,18,-0.291007906,0.291007906,22.34947461,1.223494746,1.18E-05
26m / y,Q99P88,Nup155,Nuclear pore complex protein Nup155,NU155_MOUSE,39,-0.330810547,0.330810547,25.77197986,1.257719799,1.19E-05
26m / y,P10605,Ctsb,Cathepsin B,CATB_MOUSE,15,0.514013469,0.514013469,-29.97283774,0.700271623,1.22E-05
26m / y,O88508,Dnmt3a,DNA (cytosine-5)-methyltransferase 3A,DNM3A_MOUSE,11,-0.647500396,0.647500396,56.64518189,1.566451819,1.24E-05
26m / y,G5E829,Atp2b1,Plasma membrane calcium-transporting ATPase 1,AT2B1_MOUSE,45,-0.278451234,0.278451234,21.2892118,1.212892118,1.27E-05
26m / y,Q8BH74,Nup107,Nuclear pore complex protein Nup107,NU107_MOUSE,28,-0.303782046,0.303782046,23.43761103,1.23437611,1.30E-05
26m / y,P03921,Mtnd5,NADH-ubiquinone oxidoreductase chain 5,NU5M_MOUSE,8,-1.030657291,1.030657291,104.2954809,2.042954809,1.36E-05
26m / y,P27601,Gna13,Guanine nucleotide-binding protein subunit alpha-13,GNA13_MOUSE,14,0.631124079,0.631124079,-35.43268585,0.645673142,1.39E-05
26m / y,Q3TEA8,Hp1bp3,Heterochromatin protein 1-binding protein 3,HP1B3_MOUSE,29,-0.349417001,0.349417001,27.40456762,1.274045676,1.44E-05
26m / y,Q6PHZ2,Camk2d,Calcium/calmodulin-dependent protein kinase type II subunit delta,KCC2D_MOUSE,11,0.345915556,0.345915556,-21.31915024,0.786808498,1.48E-05
26m / y,P47791,Gsr,"Glutathione reductase, mitochondrial",GSHR_MOUSE,23,0.460849404,0.460849404,-27.34416374,0.726558363,1.49E-05
26m / y,O88291,Znf326,DBIRD complex subunit ZNF326,ZN326_MOUSE,15,-0.550276041,0.550276041,46.43658566,1.464365857,1.51E-05
26m / y,Q9WTP7,Ak3,"GTP:AMP phosphotransferase AK3, mitochondrial",KAD3_MOUSE,20,0.353550494,0.353550494,-21.73444011,0.782655599,1.55E-05
26m / y,Q9Z2W0,Dnpep,Aspartyl aminopeptidase,DNPEP_MOUSE,23,0.531392336,0.531392336,-30.81133237,0.691886676,1.57E-05
26m / y,Q8BH60,Gopc,Golgi-associated PDZ and coiled-coil motif-containing protein,GOPC_MOUSE,8,0.492250562,0.492250562,-28.90847744,0.710915226,1.62E-05
26m / y,Q8R0I0,Ace2,Angiotensin-converting enzyme 2,ACE2_MOUSE,36,0.876802027,0.876802027,-45.54267688,0.544573231,1.65E-05
26m / y,P18242,Ctsd,Cathepsin D,CATD_MOUSE,14,0.452021837,0.452021837,-26.89823409,0.731017659,1.68E-05
26m / y,Q9D154,Serpinb1a,Leukocyte elastase inhibitor A,ILEUA_MOUSE,31,0.304833591,0.304833591,-19.04644122,0.809535588,1.82E-05
26m / y,Q8C522,Endod1,Endonuclease domain-containing 1 protein,ENDD1_MOUSE,8,-0.462667733,0.462667733,37.80877295,1.37808773,1.95E-05
26m / y,Q9DC16,Ergic1,Endoplasmic reticulum-Golgi intermediate compartment protein 1,ERGI1_MOUSE,12,-0.521981359,0.521981359,43.59259565,1.435925956,1.99E-05
26m / y,P62960,Ybx1,Nuclease-sensitive element-binding protein 1,YBOX1_MOUSE,25,-0.379521042,0.379521042,30.09098969,1.300909897,2.13E-05
26m / y,Q3UZZ4,Olfm4,Olfactomedin-4,OLFM4_MOUSE,12,-0.819613636,0.819613636,76.4933267,1.764933267,2.15E-05
26m / y,Q99KC8,Vwa5a,von Willebrand factor A domain-containing protein 5A,VMA5A_MOUSE,18,0.449530363,0.449530363,-26.77188132,0.732281187,2.15E-05
26m / y,Q9EPB4,Pycard,Apoptosis-associated speck-like protein containing a CARD,ASC_MOUSE,19,0.384675354,0.384675354,-23.40486606,0.765951339,2.22E-05
26m / y,O88342,Wdr1,WD repeat-containing protein 1,WDR1_MOUSE,35,0.297682703,0.297682703,-18.64418926,0.813558107,2.27E-05
26m / y,Q9D0F9,Pgm1,Phosphoglucomutase-1,PGM1_MOUSE,19,0.39052254,0.39052254,-23.71467486,0.762853251,2.29E-05
26m / y,Q9JIH2,Nup50,Nuclear pore complex protein Nup50,NUP50_MOUSE,24,-0.578053832,0.578053832,49.28340852,1.492834085,2.36E-05
26m / y,Q5NBX1,Cobl,Protein cordon-bleu,COBL_MOUSE,40,0.549416184,0.549416184,-31.67034179,0.683296582,2.55E-05
26m / y,Q9WV91,Ptgfrn,Prostaglandin F2 receptor negative regulator,FPRP_MOUSE,20,0.298697412,0.298697412,-18.70139018,0.812986098,2.68E-05
26m / y,Q05920,Pc,"Pyruvate carboxylase, mitochondrial",PYC_MOUSE,37,-0.354634076,0.354634076,27.86612219,1.278661222,2.72E-05
26m / y,Q8R0Y6,Aldh1l1,Cytosolic 10-formyltetrahydrofolate dehydrogenase,AL1L1_MOUSE,53,0.254990667,0.254990667,-16.20074443,0.837992556,2.82E-05
26m / y,P05213,Tuba1b,Tubulin alpha-1B chain,TBA1B_MOUSE,36,0.453645945,0.453645945,-26.98048176,0.730195182,2.85E-05
26m / y,Q9DCX2,Atp5h,"ATP synthase subunit d, mitochondrial",ATP5H_MOUSE,21,0.515193105,0.515193105,-30.03007282,0.699699272,2.86E-05
26m / y,Q9Z277,Baz1b,Tyrosine-protein kinase BAZ1B,BAZ1B_MOUSE,41,-0.330500603,0.330500603,25.7449623,1.257449623,3.03E-05
26m / y,Q61112,Sdf4,45 kDa calcium-binding protein,CAB45_MOUSE,19,0.327749789,0.327749789,-20.32217279,0.796778272,3.11E-05
26m / y,P51855,Gss,Glutathione synthetase,GSHB_MOUSE,23,0.280782223,0.280782223,-17.6855409,0.823144591,3.34E-05
26m / y,Q6WVG3,Kctd12,BTB/POZ domain-containing protein KCTD12,KCD12_MOUSE,13,-0.412846416,0.412846416,33.13098796,1.33130988,3.48E-05
26m / y,Q9CRB3,Urah,5-hydroxyisourate hydrolase,HIUH_MOUSE,3,0.852352977,0.852352977,-44.61193578,0.553880642,3.96E-05
26m / y,P48722,Hspa4l,Heat shock 70 kDa protein 4L,HS74L_MOUSE,29,-0.554921925,0.554921925,46.90891278,1.469089128,4.07E-05
26m / y,Q8K4L4,Pof1b,Protein POF1B,POF1B_MOUSE,25,0.365672767,0.365672767,-22.38931287,0.776106871,4.17E-05
