Uniprot Accession,Protein Name,5 month old mouse 1 H:L,5 month old mouse 2 H:L,5 month old mouse 3 H:L,24 month old mouse 1 H:L,24 month old mouse 2 H:L,24 month old mouse 3 H:L,P-value,Cum.PPDE (p),PPDE (p),BH (FDR)
Q0PD62,"RAB3B, member RAS oncogene family, isoform CRA_a OS=Mus musculus GN=Rab3b PE=2 SV=1",0.991,1.058,1.052,0.817,0.728,0.764,0.002,0.983,0.955,0.027
Q14C26,"RIKEN cDNA 2900064A13, isoform CRA_b OS=Mus musculus GN=Emc7 PE=2 SV=1",1.986,2.311,3.840,4.767,6.553,3.694,0.002,0.980,0.949,0.032
Q4FJL0,"RAB10, member RAS oncogene family OS=Mus musculus GN=Rab10 PE=2 SV=1",1.261,1.228,1.289,0.991,0.995,1.007,0.002,0.980,0.949,0.032
P60904,DnaJ homolog subfamily C member 5 OS=Mus musculus GN=Dnajc5 PE=1 SV=1,0.237,0.355,0.354,0.161,0.140,0.142,0.002,0.979,0.947,0.033
Q3UHJ0,AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2,0.161,0.128,0.130,0.037,0.027,0.106,0.003,0.974,0.933,0.047
Q505D7,Optic atrophy 3 protein homolog OS=Mus musculus GN=Opa3 PE=1 SV=1,0.567,0.684,0.892,0.930,0.888,1.096,0.003,0.973,0.932,0.047
Q3TXX4,Vesicular glutamate transporter 1 OS=Mus musculus GN=Slc17a7 PE=1 SV=2,0.010,0.073,0.027,0.314,0.076,0.057,0.003,0.973,0.931,0.047
P08752,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Mus musculus GN=Gnai2 PE=1 SV=5,0.985,0.851,0.925,0.732,0.714,0.681,0.004,0.972,0.929,0.049
Q8VCF0,Mitochondrial antiviral-signaling protein OS=Mus musculus GN=Mavs PE=1 SV=1,5.251,3.157,6.551,13.032,8.068,8.813,0.004,0.972,0.927,0.049
Q52L50,RAS related protein 1b OS=Mus musculus GN=Rap1b PE=2 SV=1,0.902,0.795,0.932,0.674,0.673,0.650,0.004,0.970,0.924,0.052
B2RUK5,Methylcrotonoyl-Coenzyme A carboxylase 2 (Beta) OS=Mus musculus GN=Mccc2 PE=2 SV=1,1.219,1.652,1.267,2.083,2.323,1.723,0.004,0.969,0.921,0.055
Q9Z2Y3,Homer protein homolog 1 OS=Mus musculus GN=Homer1 PE=1 SV=2,1.218,1.151,0.632,0.176,0.738,0.659,0.005,0.967,0.917,0.058
Q99KE1,"NAD-dependent malic enzyme, mitochondrial OS=Mus musculus GN=Me2 PE=2 SV=1",1.725,2.231,1.836,3.799,3.427,2.610,0.005,0.967,0.916,0.058
Q542X7,"Chaperonin subunit 2 (Beta), isoform CRA_a OS=Mus musculus GN=Cct2 PE=2 SV=1",1.541,1.264,1.388,1.136,0.916,1.084,0.006,0.963,0.907,0.068
Q9ERD7,Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1,0.245,0.231,0.222,0.108,0.097,0.149,0.006,0.963,0.906,0.068
Q542T7,"RAB3C, member RAS oncogene family OS=Mus musculus GN=Rab3c PE=2 SV=1",0.522,0.418,0.438,0.270,0.274,0.333,0.006,0.962,0.903,0.070
B2RQQ5,Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=2 SV=1,0.760,0.810,0.745,0.588,0.660,0.482,0.006,0.960,0.899,0.073
B9EHN0,"Ubiquitin-activating enzyme E1, Chr X OS=Mus musculus GN=Uba1 PE=2 SV=1",0.578,0.487,0.455,0.279,0.266,0.456,0.007,0.960,0.898,0.073
Q9QZQ8,Core histone macro-H2A.1 OS=Mus musculus GN=H2afy PE=1 SV=3,2.220,3.785,1.975,1.482,1.750,1.690,0.007,0.959,0.897,0.073
Q50HX4,RAB14 protein OS=Mus musculus GN=Rab14 PE=2 SV=1,0.967,0.766,0.976,0.747,0.617,0.679,0.007,0.959,0.897,0.073
Q9D8L3,"Signal sequence receptor, delta OS=Mus musculus GN=Ssr4 PE=2 SV=1",3.838,3.599,3.714,6.624,6.676,4.439,0.007,0.958,0.894,0.074
Q6PCP5,Mitochondrial fission factor OS=Mus musculus GN=Mff PE=1 SV=1,0.955,1.470,0.938,1.548,1.430,1.534,0.007,0.957,0.891,0.077
Q6ZWQ9,MCG5400 OS=Mus musculus GN=Myl12a PE=1 SV=1,19.442,100.000,12.060,6.469,10.492,11.739,0.008,0.955,0.887,0.081
E9QN98,Inactive dipeptidyl peptidase 10 OS=Mus musculus GN=Dpp10 PE=4 SV=1,0.460,0.259,0.288,0.038,0.081,0.378,0.008,0.954,0.885,0.081
Q3UGC8,"Propionyl-Coenzyme A carboxylase, alpha polypeptide, isoform CRA_b OS=Mus musculus GN=Pcca PE=2 SV=1",0.928,0.969,0.868,1.034,1.145,1.243,0.009,0.953,0.882,0.084
P27661,Histone H2AX OS=Mus musculus GN=H2afx PE=1 SV=2,6.348,11.053,7.366,4.482,5.419,5.026,0.009,0.951,0.878,0.086
Q540I4,Flotillin 1 OS=Mus musculus GN=Flot1 PE=2 SV=1,0.640,0.662,0.659,0.532,0.433,0.506,0.009,0.951,0.878,0.086
Q5M8N0,CB1 cannabinoid receptor-interacting protein 1 OS=Mus musculus GN=Cnrip1 PE=1 SV=1,0.124,0.237,0.111,0.030,0.077,0.102,0.009,0.951,0.877,0.086
Q9D0G0,"28S ribosomal protein S30, mitochondrial OS=Mus musculus GN=Mrps30 PE=2 SV=1",3.623,4.255,3.894,2.348,1.925,3.211,0.009,0.950,0.875,0.086
